sample_name	filename	ATTRIBUTE_locationcell	ATTRIBUTE_dna_conc	ATTRIBUTE_sample_type	ATTRIBUTE_sample_type2	ATTRIBUTE_host_life_stage	ATTRIBUTE_host_subject_id	ATTRIBUTE_pseudosample_id	ATTRIBUTE_storage_solution	ATTRIBUTE_host_body_mass_index	ATTRIBUTE_extraction_protocol
P3_D9.mzML	P3_D9.mzML	D9	1.059	saliva	human_saliva_after_brushing	adult	D	Plate 3 HBM_human_saliva_after_brushing_D_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_E1.mzML	P3_E1.mzML	E1	6.719	feces	human_feces	adult	A	Plate 3 HBM_human_feces_A_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_E11.mzML	P3_E11.mzML	E11	24.168	feces	mouse_feces	adult	mouse3	Plate 3 HBM_mouse_feces_mouse3_etoh_Matrix	etoh	not applicable	Matrix
P3_E12.mzML	P3_E12.mzML	E12	3.595	feces	mouse_feces	adult	mouse4	Plate 3 HBM_mouse_feces_mouse4_etoh_Matrix	etoh	not applicable	Matrix
P3_E2.mzML	P3_E2.mzML	E2	1.198	saliva	human_saliva_before_brushing	adult	A	Plate 3 HBM_human_saliva_before_brushing_A_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_E4.mzML	P3_E4.mzML	E4	1.825	feces	human_feces	adult	C	Plate 3 HBM_human_feces_C_etoh_Matrix	etoh	not applicable	Matrix
P3_E5.mzML	P3_E5.mzML	E5	0.996	saliva	human_saliva_before_brushing	adult	C	Plate 3 HBM_human_saliva_before_brushing_C_etoh_Matrix	etoh	not applicable	Matrix
P3_E6.mzML	P3_E6.mzML	E6	0.851	saliva	human_saliva_after_brushing	adult	C	Plate 3 HBM_human_saliva_after_brushing_C_etoh_Matrix	etoh	not applicable	Matrix
P3_E7.mzML	P3_E7.mzML	E7	3.23	feces	human_feces	adult	D	Plate 3 HBM_human_feces_D_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_E8.mzML	P3_E8.mzML	E8	0.78	saliva	human_saliva_before_brushing	adult	D	Plate 3 HBM_human_saliva_before_brushing_D_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_E9.mzML	P3_E9.mzML	E9	14.33	feces	mouse_feces	adult	mouse1	Plate 3 HBM_mouse_feces_mouse1_etoh_Matrix	etoh	not applicable	Matrix
P3_F1.mzML	P3_F1.mzML	F1	5.057	feces	human_feces	adult	A	Plate 3 HBM_human_feces_A_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_F10.mzML	P3_F10.mzML	F10	17.853	feces	mouse_feces	adult	mouse2	Plate 3 HBM_mouse_feces_mouse2_etoh_Matrix	etoh	not applicable	Matrix
P3_F11.mzML	P3_F11.mzML	F11	7.99	feces	mouse_feces	adult	mouse3	Plate 3 HBM_mouse_feces_mouse3_etoh_Matrix	etoh	not applicable	Matrix
P3_F12.mzML	P3_F12.mzML	F12	4.256	feces	mouse_feces	adult	mouse4	Plate 3 HBM_mouse_feces_mouse4_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_F3.mzML	P3_F3.mzML	F3	1.434	feces	human_feces	adult	B	Plate 3 HBM_human_feces_B_etoh_Matrix	etoh	not applicable	Matrix
P3_F4.mzML	P3_F4.mzML	F4	1.658	feces	human_feces	adult	C	Plate 3 HBM_human_feces_C_etoh_Matrix	etoh	not applicable	Matrix
P3_F5.mzML	P3_F5.mzML	F5	1.041	saliva	human_saliva_before_brushing	adult	C	Plate 3 HBM_human_saliva_before_brushing_C_etoh_Matrix	etoh	not applicable	Matrix
P3_F6.mzML	P3_F6.mzML	F6	0.935	saliva	human_saliva_after_brushing	adult	C	Plate 3 HBM_human_saliva_after_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_F7.mzML	P3_F7.mzML	F7	4.64	feces	human_feces	adult	D	Plate 3 HBM_human_feces_D_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_F8.mzML	P3_F8.mzML	F8	0.774	saliva	human_saliva_after_brushing	adult	D	Plate 3 HBM_human_saliva_after_brushing_D_etoh_Matrix	etoh	not applicable	Matrix
P3_G10.mzML	P3_G10.mzML	G10	8.714	feces	mouse_feces	adult	mouse2	Plate 3 HBM_mouse_feces_mouse2_etoh_Matrix	etoh	not applicable	Matrix
P3_G11.mzML	P3_G11.mzML	G11	10.126	feces	mouse_feces	adult	mouse3	Plate 3 HBM_mouse_feces_mouse3_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_G12.mzML	P3_G12.mzML	G12	3.854	feces	mouse_feces	adult	mouse4	Plate 3 HBM_mouse_feces_mouse4_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_G2.mzML	P3_G2.mzML	G2	1.043	saliva	human_saliva_after_brushing	adult	A	Plate 3 HBM_human_saliva_after_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
P3_G3.mzML	P3_G3.mzML	G3	4.839	feces	human_feces	adult	B	Plate 3 HBM_human_feces_B_etoh_Matrix	etoh	not applicable	Matrix
P3_G4.mzML	P3_G4.mzML	G4	3.178	feces	human_feces	adult	C	Plate 3 HBM_human_feces_C_etoh_Matrix	etoh	not applicable	Matrix
P3_G5.mzML	P3_G5.mzML	G5	1.086	saliva	human_saliva_before_brushing	adult	C	Plate 3 HBM_human_saliva_before_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_G6.mzML	P3_G6.mzML	G6	0.997	saliva	human_saliva_after_brushing	adult	C	Plate 3 HBM_human_saliva_after_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_G7.mzML	P3_G7.mzML	G7	7.184	feces	human_feces	adult	D	Plate 3 HBM_human_feces_D_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_G9.mzML	P3_G9.mzML	G9	6.726	feces	mouse_feces	adult	mouse1	Plate 3 HBM_mouse_feces_mouse1_etoh_Matrix	etoh	not applicable	Matrix
P3_H1.mzML	P3_H1.mzML	H1	1.372	saliva	human_saliva_before_brushing	adult	A	Plate 3 HBM_human_saliva_before_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
P3_H10.mzML	P3_H10.mzML	H10	17.786	feces	mouse_feces	adult	mouse2	Plate 3 HBM_mouse_feces_mouse2_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H11.mzML	P3_H11.mzML	H11	9.714	feces	mouse_feces	adult	mouse3	Plate 3 HBM_mouse_feces_mouse3_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H12.mzML	P3_H12.mzML	H12	2.95	feces	mouse_feces	adult	mouse4	Plate 3 HBM_mouse_feces_mouse4_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H2.mzML	P3_H2.mzML	H2	1.237	saliva	human_saliva_after_brushing	adult	A	Plate 3 HBM_human_saliva_after_brushing_A_etoh_Matrix	etoh	not applicable	Matrix
P3_H3.mzML	P3_H3.mzML	H3	18.136	feces	human_feces	adult	B	Plate 3 HBM_human_feces_B_etoh_Matrix	etoh	not applicable	Matrix
P3_H4.mzML	P3_H4.mzML	H4	4.292	feces	human_feces	adult	C	Plate 3 HBM_human_feces_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H5.mzML	P3_H5.mzML	H5	1.114	saliva	human_saliva_before_brushing	adult	C	Plate 3 HBM_human_saliva_before_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H6.mzML	P3_H6.mzML	H6	0.99	saliva	human_saliva_after_brushing	adult	C	Plate 3 HBM_human_saliva_after_brushing_C_isopropanol_Matrix	isopropanol	not applicable	Matrix
P3_H7.mzML	P3_H7.mzML	H7	2.002	saliva	human_saliva_before_brushing	adult	D	Plate 3 HBM_human_saliva_before_brushing_D_etoh_Matrix	etoh	not applicable	Matrix
P3_H8.mzML	P3_H8.mzML	H8	0.767	saliva	human_saliva_after_brushing	adult	D	Plate 3 HBM_human_saliva_after_brushing_D_etoh_Matrix	etoh	not applicable	Matrix
P3_H9.mzML	P3_H9.mzML	H9	17.25	feces	mouse_feces	adult	mouse1	Plate 3 HBM_mouse_feces_mouse1_etoh_Matrix	etoh	not applicable	Matrix
